id,codinfra,comuna,bus_stop_code,nombre_par,n_servicios,servicios,coordinates
8324,L-34-70-70-PO,PUENTE ALTO,PF427,Avenida San Carlos / esq. Bernardo Leighton,6,F10;F29;F09;F26;F25;124,"[-70.569193, -33.597356]"
8344,L-34-70-75-OP,PUENTE ALTO,PF458,Avenida San Carlos / esq. Bernardo Leighton,6,F10;F29;F09;F26;F25;124,"[-70.568798, -33.597144]"
10552,L-34-70-80-PO,PUENTE ALTO,PF428,Avenida San Carlos / esq. Nonato Coo,4,F29;F09;F26;124,"[-70.56646, -33.597136]"
1579,L-34-58-125-SN,PUENTE ALTO,PF157,Nonato Coo / esq. Av. San Carlos,3,226;712;F14,"[-70.566055, -33.597269]"
1565,L-34-58-120-NS,PUENTE ALTO,PF47,Nonato Coo / esq. Av. San Carlos,4,226;F10;712;F25,"[-70.566272, -33.596859]"
11016,L-34-56-45-SN,PUENTE ALTO,PF812,Nemesio Vicu�a / esq. Las Nieves-Oriente,1,F16,"[-70.573172, -33.593985]"
10870,L-34-49-130-PO,PUENTE ALTO,PF389,Las Nieves Oriente / esq. Nemesio Vicu�a,2,F10c;F07,"[-70.573475, -33.593848]"
10973,L-34-49-135-OP,PUENTE ALTO,PF368,Las Nieves Oriente / esq. Nemesio Vicu�a,1,F07,"[-70.572643, -33.59359]"
10955,L-34-49-115-PO,PUENTE ALTO,PF390,Las Nieves Oriente / esq. Troncal Sn.Francisco,1,F07,"[-70.569667, -33.593501]"
10972,L-34-49-110-OP,PUENTE ALTO,PF367,Las Nieves Oriente / esq. Troncal Sn.Francisco,1,F07,"[-70.56937, -33.593309]"
1564,L-34-58-110-NS,PUENTE ALTO,PF46,Nonato Coo / esq. Abogado,4,226;F10;712;F25,"[-70.566796, -33.594981]"
1580,L-34-58-115-SN,PUENTE ALTO,PF19,Nonato Coo / esq. Caleta Barquito,4,226;F10;712;F25,"[-70.566607, -33.595276]"
10956,L-34-49-105-PO,PUENTE ALTO,PF391,Las Nieves Oriente / esq. Nonato Coo,1,F07,"[-70.566724, -33.59291]"
1581,L-34-58-105-SN,PUENTE ALTO,PF20,Nonato Coo / esq. Las Nieves-Oriente,4,226;F10;712;F25,"[-70.566439, -33.593096]"
1563,L-34-58-100-NS,PUENTE ALTO,PF45,Nonato Coo / esq. Las Nieves-Oriente,4,226;F10;712;F25,"[-70.566584, -33.592542]"
10639,L-34-49-95-OP,PUENTE ALTO,PF366,Las Nieves Oriente / esq. Nonato Coo,2,F20;F07,"[-70.566249, -33.592702]"
1562,L-34-58-90-NS,PUENTE ALTO,PF44,Nonato Coo / esq. San Hugo,5,226;F10;F20;712;F25,"[-70.567057, -33.590866]"
1582,L-34-58-95-SN,PUENTE ALTO,PF21,Nonato Coo / esq. San Hugo,5,226;F10;F20;712;F25,"[-70.566803, -33.591273]"
1583,L-34-58-85-SN,PUENTE ALTO,PF22,Nonato Coo / esq. Angel Pimentel,5,226;F10;F20;712;F25,"[-70.567497, -33.588839]"
1561,L-34-58-80-NS,PUENTE ALTO,PF43,Nonato Coo / esq. Angel Pimentel,5,226;F10;F20;712;F25,"[-70.567746, -33.58832]"
10654,L-34-7-45-PO,PUENTE ALTO,PF983,Av. Circunvalaci�n / esq. Laja,1,712,"[-70.565836, -33.616795]"
10655,L-34-7-35-PO,PUENTE ALTO,PF982,Av. Circunvalaci�n / esq. Nonato Coo,1,712,"[-70.56332, -33.616455]"
10303,L-34-58-190-NS,PUENTE ALTO,PF878,Nonato Coo / esq. Av. Circunvalaci�n,2,F01;F29,"[-70.563272, -33.616152]"
10339,L-34-7-40-OP,PUENTE ALTO,PF978,Av. Circunvalaci�n / esq. Nonato Coo,3,F01;F29;712,"[-70.562879, -33.616206]"
10302,L-34-58-180-NS,PUENTE ALTO,PF876,Nonato Coo / esq. Los Loros,2,F01;F29,"[-70.562929, -33.613051]"
10340,L-34-58-175-SN,PUENTE ALTO,PF877,Nonato Coo / esq. Av. Eyzaguirre,1,F01,"[-70.563182, -33.611813]"
10536,L-34-7-36-OP,PUENTE ALTO,PF1144,Av. Circunvalaci�n / esq. Psje. Las. Golondrinas,2,F29;712,"[-70.560711, -33.615691]"
10304,L-34-7-25-PO,PUENTE ALTO,PF981,Av. Circunvalaci�n / esq. Holanda,3,F01;F29;712,"[-70.558891, -33.615505]"
10338,L-34-7-30-OP,PUENTE ALTO,PF977,Av. Circunvalaci�n / esq. Holanda,3,F01;F29;712,"[-70.558595, -33.615286]"
10300,L-34-40-170-PO,PUENTE ALTO,PF178,Avenida Eyzaguirre / esq. Valdivia,4,F01;F01c;F11;F29,"[-70.565583, -33.611713]"
10341,L-34-40-175-OP,PUENTE ALTO,PF209,Avenida Eyzaguirre / esq. Concepci�n,4,F01;F01c;F11;F29,"[-70.564946, -33.611297]"
10301,L-34-40-180-PO,PUENTE ALTO,PF179,Avenida Eyzaguirre / esq. Nonato Coo,4,F01;F01c;F11;F29,"[-70.563615, -33.611356]"
10419,L-34-40-185-OP,PUENTE ALTO,PF208,Avenida Eyzaguirre / esq. Nonato Coo,2,F01c;F11,"[-70.563353, -33.610984]"
10495,L-34-31-30-PO,PUENTE ALTO,PF217,Dr. Eduardo Cordero / esq. Nonato Coo,3,F03;F03c;F14,"[-70.565037, -33.604498]"
10425,L-34-31-35-OP,PUENTE ALTO,PF154,Dr. Eduardo Cordero / esq. Alfonso Leng,2,F03;F03c,"[-70.565069, -33.604358]"
1568,L-34-58-150-NS,PUENTE ALTO,PF148,Nonato Coo / esq. Av. Eduardo Cordero,2,226;F14,"[-70.564854, -33.604199]"
1576,L-34-58-155-SN,PUENTE ALTO,PF984,Nonato Coo / esq. Enrique Soro,2,226;F14,"[-70.564803, -33.603903]"
1569,L-34-31-35-PO,PUENTE ALTO,PF839,Dr. Eduardo Cordero / esq. Pasaje 14,3,226;F03;F03c,"[-70.562406, -33.604268]"
1575,L-34-31-40-OP,PUENTE ALTO,PF840,Dr. Eduardo Cordero / esq. Pasaje 14,3,226;F03;F03c,"[-70.562251, -33.604106]"
10420,L-34-40-190-PO,PUENTE ALTO,PF180,Avenida Eyzaguirre / esq. Finlandia,2,F01c;F11,"[-70.561101, -33.610844]"
10418,L-34-40-195-OP,PUENTE ALTO,PF207,Avenida Eyzaguirre / esq. Finlandia,2,F01c;F11,"[-70.56088, -33.610474]"
10421,L-34-40-200-PO,PUENTE ALTO,PF181,Avenida Eyzaguirre / esq. Las Palmeras,2,F01c;F11,"[-70.559031, -33.61042]"
10417,L-34-40-205-OP,PUENTE ALTO,PF206,Avenida Eyzaguirre / esq. Las Palmeras,2,F01c;F11,"[-70.558922, -33.610076]"
1570,L-34-31-40-PO,PUENTE ALTO,PF149,Dr. Eduardo Cordero / esq. Calle 1,3,226;F03;F03c,"[-70.560045, -33.60407]"
1574,L-34-31-45-OP,PUENTE ALTO,PF153,Dr. Eduardo Cordero / esq. Calle 1,3,226;F03;F03c,"[-70.559586, -33.603885]"
10305,L-34-7-5-PO,PUENTE ALTO,PF520,Av. Circunvalaci�n / esq. Tom�,3,F01;F29;712,"[-70.555313, -33.614722]"
10337,L-34-80-25-NS,PUENTE ALTO,PF939,Tom� / esq. Av. Circunvalaci�n,1,F01,"[-70.555215, -33.614142]"
10535,L-34-7-10-OP,PUENTE ALTO,PF505,Av. Circunvalaci�n / esq. Tom�,2,F29;712,"[-70.554847, -33.614461]"
10306,L-34-80-10-SN,PUENTE ALTO,PF708,Tom� / esq. Los Loros,1,F01,"[-70.55503, -33.612586]"
10336,L-34-80-20-NS,PUENTE ALTO,PF691,Tom� / esq. Los Loros,3,F01;F29;712,"[-70.555128, -33.611922]"
10534,L-34-7-20-OP,PUENTE ALTO,PF504,Av. Circunvalaci�n / esq. M. Toledo-Poniente,2,F29;712,"[-70.552863, -33.614009]"
10529,L-34-7-15-PO,PUENTE ALTO,PF521,Av. Circunvalaci�n / esq. M. Toledo-Oriente,2,F29;712,"[-70.552551, -33.614102]"
10530,L-34-78-10-SN,PUENTE ALTO,PF522,Luis Moreno Paz / esq. Bombero de Pte. Alto,2,F29;712,"[-70.551917, -33.611828]"
10422,L-34-40-210-PO,PUENTE ALTO,PF182,Avenida Eyzaguirre / esq. Bom. Luis V�squez,2,F01c;F11,"[-70.556375, -33.610193]"
10416,L-34-40-215-OP,PUENTE ALTO,PF205,Avenida Eyzaguirre / esq. Bom. Luis V�squez,2,F01c;F11,"[-70.55615, -33.609914]"
10307,L-34-80-15-SN,PUENTE ALTO,PF709,Tom� / esq. Av. Eyzaguirre,1,F01,"[-70.554945, -33.610366]"
10308,L-34-40-220-PO,PUENTE ALTO,PF183,Avenida Eyzaguirre / esq. Luis Moreno Paz,3,F01;F01c;F11,"[-70.553667, -33.61011]"
1571,L-34-31-50-PO,PUENTE ALTO,PF150,Dr. Eduardo Cordero / esq. Tom�,3,226;F03;F03c,"[-70.557341, -33.603866]"
1573,L-34-31-55-OP,PUENTE ALTO,PF152,Dr. Eduardo Cordero / esq. Cerro Gris,10,226;F03;F11;F29;F02;F05;F06;F20;F03c;F09,"[-70.555791, -33.603599]"
1572,L-34-31-60-PO,PUENTE ALTO,PF151,Dr. Eduardo Cordero / esq. Cerro Catedral,3,226;F03;F03c,"[-70.555642, -33.603729]"
10531,L-34-78-5-SN,PUENTE ALTO,PF523,Luis Moreno Paz / esq. Av. Eyzaguirre,2,F29;712,"[-70.553156, -33.61032]"
10335,L-34-40-225-OP,PUENTE ALTO,PF204,Avenida Eyzaguirre / esq. Luis Moreno Paz,5,F01;F01c;F11;F29;712,"[-70.553386, -33.609827]"
10532,L-34-66-5-NS,PUENTE ALTO,PF502,Av. Paseo Pie Andino / esq. Manuel Campos G.,2,F29;712,"[-70.549867, -33.611372]"
428,L-34-30-60-PO,PUENTE ALTO,PF465,Domingo Tocornal / esq. Nonato Coo,5,204;204N;F11;F02;F09,"[-70.56559, -33.601469]"
1567,L-34-58-140-NS,PUENTE ALTO,PF147,Nonato Coo / esq. Domingo Tocornal,3,226;712;F14,"[-70.56543, -33.601163]"
1577,L-34-58-145-SN,PUENTE ALTO,PF155,Nonato Coo / esq. Domingo Tocornal,2,226;F14,"[-70.565254, -33.601518]"
437,L-34-30-65-OP,PUENTE ALTO,PF419,Domingo Tocornal / esq. Nonato Coo,5,204;204N;F11;F02;F09,"[-70.565015, -33.601245]"
1578,L-34-58-135-SN,PUENTE ALTO,PF156,Nonato Coo / esq. El Octante,3,226;712;F14,"[-70.565631, -33.599491]"
1566,L-34-58-130-NS,PUENTE ALTO,PF48,Nonato Coo / esq. El Octante,3,226;712;F14,"[-70.565803, -33.599221]"
10515,L-34-70-85-OP,PUENTE ALTO,PF18,Avenida San Carlos / esq. Nonato Coo,5,F29;F09;F26;124;F14,"[-70.565816, -33.596894]"
10514,L-34-70-95-OP,PUENTE ALTO,PF17,Avenida San Carlos / esq. Cal. El Membrillo,5,F29;F09;F26;124;F14,"[-70.563756, -33.596742]"
10553,L-34-70-90-PO,PUENTE ALTO,PF429,Avenida San Carlos / esq. Caleta Victor,5,F29;F09;F26;124;F14,"[-70.562061, -33.596825]"
429,L-34-30-70-PO,PUENTE ALTO,PF49,Domingo Tocornal / esq. Calle 1,5,204;204N;F11;F02;F09,"[-70.560547, -33.601075]"
436,L-34-30-75-OP,PUENTE ALTO,PF418,Domingo Tocornal / esq. Los Diaguitas,5,204;204N;F11;F02;F09,"[-70.560298, -33.60091]"
430,L-34-30-80-PO,PUENTE ALTO,PF916,Domingo Tocornal / esq. Tom�,5,204;204N;F11;F02;F09,"[-70.55842, -33.600928]"
10496,L-34-80-5-SN,PUENTE ALTO,PF339,Tom� / esq. Domingo Tocornal,7,F11;F29;F02;F05;F06;F20;F09,"[-70.558005, -33.601098]"
10554,L-34-70-100-PO,PUENTE ALTO,PF430,Avenida San Carlos / esq. Avenida M�xico,5,F29;F09;F26;124;F14,"[-70.558668, -33.596605]"
1905,L-34-8-5-NS,PUENTE ALTO,PF335,Avenida M�xico / esq. Av. San Carlos,6,210v;F05;F06;F09;124;F14,"[-70.558197, -33.596152]"
10627,L-34-49-100-PO,PUENTE ALTO,PF392,Las Nieves Oriente / esq. Cerro Sta. Luc�a,2,F20;F07,"[-70.564503, -33.592758]"
10638,L-34-49-90-OP,PUENTE ALTO,PF365,Las Nieves Oriente / esq. L�bano,2,F20;F07,"[-70.563221, -33.592495]"
1901,L-34-54-75-NS,PUENTE ALTO,PF331,Avenida M�xico / esq. Angel Pimentel,5,210v;F06;F09;124;F14,"[-70.563225, -33.587914]"
1913,L-34-54-80-SN,PUENTE ALTO,PF345,Avenida M�xico / esq. Angel Pimentel,6,210v;F05;F06;F09;124;F14,"[-70.562509, -33.588653]"
10628,L-34-49-85-PO,PUENTE ALTO,PF393,Las Nieves Oriente / esq. Avenida M�xico,2,F20;F07,"[-70.560631, -33.592465]"
10593,L-34-49-89-OP,PUENTE ALTO,PF974,Las Nieves Oriente / esq. Avenida M�xico,3,F05;F20;F07,"[-70.560146, -33.592356]"
1911,L-34-54-100-SN,PUENTE ALTO,PF343,Avenida M�xico / esq. Las Nieves-Oriente,6,210v;F05;F06;F09;124;F14,"[-70.560127, -33.592517]"
1903,L-34-54-95-NS,PUENTE ALTO,PF333,Avenida M�xico / esq. Las Nieves-Oriente,5,210v;F06;F09;124;F14,"[-70.560649, -33.592257]"
1904,L-34-54-110-NS,PUENTE ALTO,PF334,Avenida M�xico / esq. Cerro Sn.Crist�bal,6,210v;F05;F06;F09;124;F14,"[-70.559014, -33.594815]"
1910,L-34-54-105-SN,PUENTE ALTO,PF342,Avenida M�xico / esq. San Alberto,6,210v;F05;F06;F09;124;F14,"[-70.559209, -33.594098]"
