line_id,station_id,name,status_code,status_description,date,Hora_minuto
L4,vicente-valdes,Vicente Valdés,0,Estación Operativa,2025-10-12 17:07:54.225301,17:07
L4,rojas-magallanes,Rojas Magallanes,0,Estación Operativa,2025-10-12 17:07:54.225303,17:07
L4,trinidad,Trinidad,0,Estación Operativa,2025-10-12 17:07:54.225304,17:07
L4,san-jose-de-la-estrella,San José de la Estrella,0,Estación Operativa,2025-10-12 17:07:54.225304,17:07
L4,los-quillayes,Los Quillayes,0,Estación Operativa,2025-10-12 17:07:54.225305,17:07
L4,elisa-correa,Elisa Correa,0,Estación Operativa,2025-10-12 17:07:54.225306,17:07
L4,hospital-sotero-del-rio,Hospital Sótero del Río,0,Estación Operativa,2025-10-12 17:07:54.225307,17:07
L4,protectora-de-la-infancia,Protectora de la Infancia,0,Estación Operativa,2025-10-12 17:07:54.225307,17:07
L4,las-mercedes,Las Mercedes,0,Estación Operativa,2025-10-12 17:07:54.225308,17:07
L4,plaza-de-puente-alto,Plaza de Puente Alto,0,Estación Operativa,2025-10-12 17:07:54.225309,17:07
L4A,vicuna-mackenna,Vicuña Mackenna,0,Estación Operativa,2025-10-12 17:07:54.225313,17:07
L4A,santa-julia,Santa Julia,0,Estación Operativa,2025-10-12 17:07:54.225313,17:07
L4A,la-granja,La Granja,0,Estación Operativa,2025-10-12 17:07:54.225314,17:07
L4A,santa-rosa,Santa Rosa,0,Estación Operativa,2025-10-12 17:07:54.225315,17:07
L4A,san-ramon,San Ramón,0,Estación Operativa,2025-10-12 17:07:54.225315,17:07
L4A,la-cisterna,La Cisterna,0,Estación Operativa,2025-10-12 17:07:54.225316,17:07
L5,plaza-de-maipu,Plaza de Maipú,0,Estación Operativa,2025-10-12 17:07:54.225319,17:07
L5,santiago-bueras,Santiago Bueras,0,Estación Operativa,2025-10-12 17:07:54.225320,17:07
L5,del-sol,Del Sol,0,Estación Operativa,2025-10-12 17:07:54.225320,17:07
L5,monte-tabor,Monte Tabor,0,Estación Operativa,2025-10-12 17:07:54.225321,17:07
L5,las-parcelas,Las Parcelas,0,Estación Operativa,2025-10-12 17:07:54.225323,17:07
L5,laguna-sur,Laguna Sur,0,Estación Operativa,2025-10-12 17:07:54.225324,17:07
L5,barrancas,Barrancas,0,Estación Operativa,2025-10-12 17:07:54.225324,17:07
L5,pudahuel,Pudahuel,0,Estación Operativa,2025-10-12 17:07:54.225325,17:07
L5,san-pablo,San Pablo,0,Estación Operativa,2025-10-12 17:07:54.225326,17:07
L5,lo-prado,Lo Prado,0,Estación Operativa,2025-10-12 17:07:54.225327,17:07
L5,blanqueado,Blanqueado,0,Estación Operativa,2025-10-12 17:07:54.225327,17:07
L5,gruta-de-lourdes,Gruta de Lourdes,0,Estación Operativa,2025-10-12 17:07:54.225328,17:07
L5,quinta-normal,Quinta Normal,0,Estación Operativa,2025-10-12 17:07:54.225329,17:07
L5,cumming,Cumming,0,Estación Operativa,2025-10-12 17:07:54.225330,17:07
L5,santa-ana,Santa Ana,0,Estación Operativa,2025-10-12 17:07:54.225330,17:07
L5,plaza-de-armas,Plaza de Armas,0,Estación Operativa,2025-10-12 17:07:54.225331,17:07
L5,bellas-artes,Bellas Artes,0,Estación Operativa,2025-10-12 17:07:54.225332,17:07
L5,baquedano,Baquedano,0,Estación Operativa,2025-10-12 17:07:54.225332,17:07
L5,parque-bustamante,Parque Bustamante,0,Estación Operativa,2025-10-12 17:07:54.225333,17:07
L5,santa-isabel,Santa Isabel,0,Estación Operativa,2025-10-12 17:07:54.225334,17:07
L5,irarrazaval,Irarrázaval,0,Estación Operativa,2025-10-12 17:07:54.225334,17:07
L5,nuble,Ñuble,0,Estación Operativa,2025-10-12 17:07:54.225335,17:07
L5,rodrigo-de-araya,Rodrigo de Araya,0,Estación Operativa,2025-10-12 17:07:54.225336,17:07
L5,carlos-valdovinos,Carlos Valdovinos,0,Estación Operativa,2025-10-12 17:07:54.225336,17:07
L5,camino-agricola,Camino Agrícola,0,Estación Operativa,2025-10-12 17:07:54.225341,17:07
L5,san-joaquin,San Joaquín,0,Estación Operativa,2025-10-12 17:07:54.225341,17:07
L5,pedrero,Pedrero,0,Estación Operativa,2025-10-12 17:07:54.225342,17:07
L5,mirador,Mirador,0,Estación Operativa,2025-10-12 17:07:54.225343,17:07
L5,bellavista-de-la-florida,Bellavista de La Florida,0,Estación Operativa,2025-10-12 17:07:54.225344,17:07
